31,	Jan,	2019
Sunrise:	05:44;
Noon:	12:22;
Sunset:	18:59

Name,	Time_start,	Dir_start,	Alt_start,	Mag_start,	Time_highest,    Dir_highest,	Alt_highest,	Mag_highest,	Time_end,	Dir_end,	Alt_end,	Mag_end
COSMOS 1818,	06:13:47, SSW,	15°,	5.9,	06:18:17,	WNW,	67°,	4.0,	06:23:38,	NNE,	10°,	6.6
COSMO-SKYMED 1,	06:17:46,	S,	15°,	6.0,	06:21:46,	WNW,	57°,	3.0,	06:25:35,	NNW,	10°,	5.0
TSX-5, 06:21:13, SW,	10°,	6.1,	06:24:15,	WNW,	41°,	3.8,	06:27:25,	N,	10°,	6.4
COSMOS 2151,	06:35:23,	NNW,	15°,	5.2,	06:39:23, SW,	61°,	3.9,	06:43:08,	S,	10°,	6.7
SL-3  R/B,	06:52:03,	NW,	10°,	4.8,	06:55:20,	WSW,	28°,	3.6,	06:58:06, SSW,	10°,	5.6
TITAN 4B R/B,	06:52:20,	W,	10°,	3.7,	06:54:07, SW,	12°,	3.8,	06:55:33, SW,	10°,	4.2
RESURS-DK 1,	06:56:44,	WNW,	10°,	4.4,	06:59:42,	WSW,	18°,	4.1,	07:02:27, SSW,	10°,	5.4
DELTA 2 R/B(1),	07:03:26,	WSW,	10°,	5.0,	07:06:54,	NE,	70°,	4.2,	07:09:48,	ENE,	10°,	8.4
SL-16 R/B,	07:05:29, SW,	16°,	4.2,	07:09:29,	WNW,	35°,	3.0,	07:14:26,	NNW,	10°,	4.7
COSMOS 2219,	07:12:39,	NW,	10°,	5.3,	07:17:57,	WSW,	40°,	4.1,	07:23:09,	S,	10°,	6.6
RSS-1, 07:16:40,	NNW,	13°,	4.8,	07:19:55,	W,	28°,	3.7,	07:23:35, SW,	10°,	5.2
ENVISAT, 07:18:16,	N,	13°,	5.7,	07:23:16,	WSW,	59°,	3.8,	07:27:53, SSW,	10°,	5.9
